"現代の国際政治（’１８）", "2019年度2学期（77.5点）", "2019年度1学期（75.5点）", "コース科目", "専門科目", "社会と産業",
"母性看護学（’２０）", nil, nil, "コース科目", "専門科目", "",
"乳幼児・児童の心理臨床（’１７）", "2019年度2学期（85.5点）", "2019年度1学期（86.4点）", "コース科目", "専門科目", "心理と教育",
"著作権法（’１８）", "2019年度2学期（65.6点）", "2019年度1学期（66.7点）", "コース科目", "専門科目", "社会と産業",
"微分方程式（’１７）", "2019年度2学期（63.3点）", "2019年度1学期（69.3点）", "コース科目", "専門科目", "自然と環境",
"司法・犯罪心理学（’２０）", nil, nil, "コース科目", "専門科目", "心理と教育",
"災害社会学（’２０）", nil, nil, "コース科目", "専門科目", "社会と産業",
"心理職の専門性（’２０）", nil, nil, "コース科目", "専門科目", "心理と教育",
"心理的アセスメント（’２０）", nil, nil, "コース科目", "専門科目", "心理と教育",
"臨床心理学概論（’２０）", nil, nil, "コース科目", "専門科目", "心理と教育",
"発達科学の先人たち（’１６）", "2019年度2学期（83.9点）", "2019年度1学期（86.8点）", "コース科目", "導入科目", "心理と教育",
"記号論理学（’１４）", "2019年度2学期（70.7点）", "2019年度1学期（69.7点）", "コース科目", "専門科目", "情報",
"中高年の心理臨床（’２０）", nil, nil, "コース科目", "専門科目", "心理と教育",
"認知行動療法（’２０）", nil, nil, "コース科目", "専門科目", "心理と教育",
"数値の処理と数値解析（’１４）", "2019年度2学期（73.9点）", "2019年度1学期（73.1点）", "コース科目", "専門科目", "情報",
"フランス語Ⅰ（’１８）", "2019年度2学期（50.1点）", "2019年度1学期（53.1点）", "基盤科目", "外国語科目", "",
"乳幼児の保育・教育（’１５）", "2019年度2学期（73.9点）", "2019年度1学期（77.8点）", "コース科目", "専門科目", "心理と教育",
"現代社会の児童生徒指導（’１７）", "2019年度2学期（70.5点）", "2019年度1学期（69.8点）", "コース科目", "専門科目", "心理と教育",
"耳から学ぶ英語（’１８）", "2019年度2学期（73.6点）", "2019年度1学期（73.6点）", "基盤科目", "外国語科目", "",
"中国語Ⅰ（’１８）", "2019年度2学期（64.5点）", "2019年度1学期（65.4点）", "基盤科目", "外国語科目", "",
